zone_id,delivery_distance_actual_m,straight_line_distance_m,total_orders,monthly_orders,mom_change,cluster_log_monthly_orders_label,cluster_straight_line_distance_label,mkt_classification
11110,2509.2293734487407,1646.0873341648712,296332,148166.0,-51.5802021456691,highest,Medium,2
11140,2341.1448023206094,1592.8675773440118,311853,155926.5,-39.756541220479725,highest,Medium,2
11170,2536.6815327180475,1639.5154033650806,332722,166361.0,-50.15289968969695,highest,Medium,2
11200,2282.003628539322,1580.0349072964314,490690,245345.0,-46.11259380988073,highest,Medium,2
11215,1981.813414923614,1410.3862374207595,709903,354951.5,-42.41082230613328,highest,Medium,1
11230,2370.0777973417935,1640.835737250963,738530,369265.0,-36.82753470450081,highest,Medium,1
11260,2174.8526928116235,1575.5160814120197,531923,265961.5,-43.74370257654582,highest,Medium,1
11290,2330.066119905472,1608.2595160167778,743716,371858.0,-42.179601987938256,highest,Medium,1
11305,2062.422655942453,1519.2922759804826,483474,241737.0,-28.798158640226628,highest,Medium,1
11320,2159.667717751008,1583.1848307179398,368401,184200.5,-51.78290519200982,highest,Medium,1
11350,2182.7236400889096,1540.981799336786,663593,331796.5,-41.941453887195124,highest,Medium,1
11380,2102.0969769989583,1510.8604327556054,590454,295227.0,-41.65804053655423,highest,Medium,1
11410,2317.714874582967,1581.813301950876,577373,288686.5,-40.715022704826225,highest,Medium,2
11440,2097.316173101582,1463.9281028839275,862733,431366.5,-34.591123824715865,highest,Medium,2
11470,2329.896516513051,1618.513391988557,533046,266523.0,-36.9436142779795,highest,Medium,1
11500,2110.0255090791056,1529.6332732797332,943412,471706.0,-41.505427286457575,highest,Medium,1
11530,2428.8015848317978,1662.2184773768342,493177,246588.5,-49.1167472312305,highest,Medium,2
11545,2283.920239757957,1599.7862667998245,400201,200100.5,-47.266100562923384,highest,Medium,1
11560,2315.5730402273657,1562.8230419513252,740851,370425.5,-44.07994982615943,highest,Medium,2
11590,2300.530664873908,1583.7658230230224,580131,290065.5,-53.64603962269386,highest,Medium,2
11620,2197.7654785182226,1553.5337360712017,1196744,598372.0,-36.69956116411589,highest,Medium,1
11650,2223.3040956425175,1583.794499397812,682928,341464.0,-50.2262195349286,highest,Medium,2
11680,2051.4221435727886,1463.0949055447074,1510218,755109.0,-28.32852495242772,highest,Medium,2
11710,2194.401000942532,1544.5654060678385,1025204,512602.0,-37.39670797818853,highest,Medium,2
11740,1862.504809916742,1388.1363985006124,585384,292692.0,-41.333120109286355,highest,Short,1
26110,2131.313084193791,1431.5961703094151,40373,20186.5,-31.463160091838866,Large,Medium,3
26140,2283.8360796820816,1528.85530412332,58919,29459.5,-50.52388563310247,Large,Medium,3
26170,2421.409026953348,1623.9941410543904,67870,33935.0,-50.81549215281136,Large,Medium,4
26200,2311.0435134861427,1551.091280423995,44533,22266.5,-53.108816835438866,Large,Medium,5
26230,2198.7835086440805,1497.9497964521074,389357,194678.5,-39.191075647189045,highest,Medium,4
26260,2139.276817040309,1528.5800964199952,197125,98562.5,-40.34195372042732,highest,Medium,3
26290,2144.4887115528363,1456.9389447966557,209200,104600.0,-41.087773937483384,highest,Medium,3
26320,2101.9035932069646,1465.0148300290682,126013,63006.5,-44.579977552757185,Large,Medium,5
26350,2025.9506752720415,1405.5418164993616,251986,125993.0,-47.68277571251549,highest,Medium,4
26380,2224.6161597025184,1504.9663967361612,163743,81871.5,-39.602883843034306,Large,Medium,5
26410,1847.3818701649714,1374.0112754133474,157891,78945.5,-41.92088585416646,Large,Short,3
26440,2407.6035082174462,1512.3615676359038,51525,25762.5,-47.95054150559211,Large,Medium,5
26470,2184.826201159275,1590.334687746731,183120,91560.0,-31.074785753161816,highest,Medium,3
26500,2091.6567246944182,1535.2731443521288,153124,76562.0,-41.80424406471476,Large,Medium,4
26530,2334.452361563518,1575.7124561106646,146132,73066.0,-51.16667515404594,Large,Medium,3
26710,1746.9983124200442,1274.4630365551593,54862,27431.0,-51.108638423752275,Large,Short,5
27110,2461.467917874858,1694.957620367715,132660,66330.0,-30.669866230981313,Large,Medium,4
27140,2467.342309787248,1682.1869324509987,185815,92907.5,-52.51607270418287,highest,Medium,3
27170,2355.42298206278,1709.2037254225595,85556,42778.0,-47.29777968158778,Large,Medium,3
27200,2466.0888701855083,1805.1182797182535,109014,54507.0,-40.57386039573554,Large,Medium,3
27230,2212.8681437743635,1539.8430061912406,256317,128158.5,-42.50488491268602,highest,Medium,5
27260,2320.7037971832137,1604.9434594965417,281103,140551.5,-39.13070848117203,highest,Medium,3
27290,2114.754381957583,1496.2916140515706,336615,168307.5,-39.67355064870735,highest,Medium,3
27710,2146.6869491285247,1473.318445042747,82922,41461.0,-60.82709543150616,Large,Medium,5
28110,2037.8604917480634,1289.4487212304928,165224,82612.0,-49.305922912752415,Large,Short,4
28140,2282.176964177515,1628.922185704056,43698,21849.0,-69.53873712494402,Large,Medium,1
28177,2262.3669763578746,1600.607134582,604948,302474.0,-38.25352263308467,highest,Medium,1
28185,2415.777006601415,1644.628417978626,469785,234892.5,-44.53883013223556,highest,Medium,1
28200,2165.5616689436624,1509.2167561783108,580013,290006.5,-42.989361414146884,highest,Medium,1
28237,2149.510920333654,1562.8978375117463,628213,314106.5,-43.42469611510863,highest,Medium,1
28245,2048.1638852418105,1492.6596452869496,275853,137926.5,-50.753931970286374,highest,Medium,1
28260,2377.637672056385,1622.1573123963515,710949,355474.5,-46.02494964589695,highest,Medium,1
29110,2272.0699494949495,1600.4687892437892,106695,53347.5,-43.28917219904824,Large,Medium,4
29140,2173.5367208578555,1553.7229136592407,241203,120601.5,-41.072287489540024,highest,Medium,4
29155,2250.654738813111,1568.121652726699,138875,69437.5,-38.27297076976826,Large,Medium,4
29170,2275.8710884591524,1586.93855134266,335875,167937.5,-45.60736579849779,highest,Medium,4
29200,2238.8052265343495,1523.4532388209582,306123,153061.5,-40.667159393737506,highest,Medium,4
30110,2099.17529053204,1543.7702626738508,193897,96948.5,-48.869818703331305,highest,Medium,4
30140,2265.2776940199897,1662.6870582392537,164023,82011.5,-42.601886593288484,Large,Medium,4
30170,2200.6261209863737,1586.681627296588,456045,228022.5,-37.30284727598349,highest,Medium,4
30200,2475.3403995511903,1713.2247112573352,321086,160543.0,-48.15110829459307,highest,Medium,4
30230,2095.280372511058,1527.3229724573578,103874,51937.0,-45.623160835835094,Large,Medium,3
31110,2355.916664933985,1687.7424611012925,105620,52810.0,-45.016067733935934,Large,Medium,4
31140,2002.198635514438,1455.5413271208329,222738,111369.0,-33.701909078013124,highest,Medium,3
31170,2071.51020925487,1530.3386608195287,59080,29540.0,-41.498095186993616,Large,Medium,5
31200,2377.659302107603,1620.339698097712,82930,41465.0,-48.73964907160836,Large,Medium,5
31710,2281.0495418098512,1626.63713885707,24723,12361.5,-59.58425626171409,Medium,Medium,5
36110,2169.4445073896372,1522.727826271268,189837,94918.5,-44.34359087890193,highest,Medium,3
41111,2186.906495310872,1551.9194975107098,316819,158409.5,-45.64765148082648,highest,Medium,1
41113,2273.0325814910957,1650.4857146653248,448056,224028.0,-49.533545124220055,highest,Medium,1
41115,2233.842627827254,1611.4312698383908,386560,193280.0,-28.67526481407614,highest,Medium,1
41117,2286.8340061634194,1605.545969821722,495625,247812.5,-45.37666478440867,highest,Medium,1
41131,2211.686771806412,1536.9833616983724,289803,144901.5,-44.2790052873662,highest,Medium,2
41133,2109.0829773540286,1525.636143748784,247445,123722.5,-48.67692834559475,highest,Medium,1
41135,2394.390326682536,1592.8853256835273,543124,271562.0,-38.06823433302624,highest,Medium,2
41150,2032.9084798893628,1459.7901056432715,474319,237159.5,-43.49213367473537,highest,Medium,4
41171,2213.0889109559926,1553.1284467679807,224446,112223.0,-43.315392294428506,highest,Medium,1
41173,2209.2713825132982,1548.9808818357767,293399,146699.5,-40.06334254580342,highest,Medium,2
41190,2172.512825199999,1539.3046972005816,954522,477261.0,-41.19487908961593,highest,Medium,1
41210,2328.2408812046847,1600.2222532069159,239967,119983.5,-49.899606557787216,highest,Medium,2
41220,2119.281519155507,1509.4596602893464,599587,299793.5,-46.12046288050466,highest,Medium,3
41250,1653.0661212190564,1229.384311706145,40419,20209.5,-44.31476773746245,Large,Short,5
41271,2308.6265466923755,1640.5686019662453,322171,161085.5,-57.924237078849885,highest,Medium,1
41273,2305.2092657395547,1650.5941327739736,353961,176980.5,-36.04263361218421,highest,Medium,1
41281,2280.8192212917875,1587.311984406482,430042,215021.0,-46.88113083263606,highest,Medium,1
41285,2342.5169220407474,1676.0948948050032,346461,173230.5,-38.65948896101779,highest,Medium,1
41287,2352.810800685527,1631.5912726703402,264722,132361.0,-46.29739302096034,highest,Medium,1
41290,2066.1993540863014,1394.699937202835,42289,21144.5,-56.07174460554081,Large,Short,2
41310,2068.636742491244,1419.6430714260446,206740,103370.0,-43.82483361913324,highest,Medium,1
41360,2169.8585822112796,1493.6301754112028,527538,263769.0,-44.68965192379596,highest,Medium,4
41370,4114.666666666667,2574.6666666666665,137218,68609.0,-47.01540794256026,Large,Long,2
41390,2098.2941001847457,1441.8309107402797,490913,245456.5,-46.88777785748371,highest,Medium,4
41410,2243.213307083946,1520.0818013488242,235896,117948.0,-41.60399656209712,highest,Medium,1
41430,2549.168826000068,1800.1993276428548,94397,47198.5,-67.42366787449791,Large,Medium,2
41450,2021.5420831682482,1426.3373928029393,339115,169557.5,-45.98003415449459,highest,Medium,2
41461,2088.43198385569,1480.8916802804204,162468,81234.0,-49.70304723491646,Large,Medium,5
41463,2491.3261285997705,1609.7053248562304,369588,184794.0,-49.81653128314323,highest,Medium,2
41465,2233.894904302587,1496.7360715807831,301017,150508.5,-47.39315589353612,highest,Medium,2
41480,2471.1021680177814,1649.4394803662756,405192,202596.0,-42.01008316859479,highest,Medium,1
41500,1817.782452334373,1322.8882884278898,112112,56056.0,-41.007459511586354,Large,Short,5
41550,2185.487836043928,1593.5807108833155,109119,54559.5,-55.00485004717169,Large,Medium,5
41570,2069.1304850681595,1431.2934552689019,471877,235938.5,-40.398768856118515,highest,Medium,4
41590,2163.9574739899863,1524.3465320518815,914815,457407.5,-47.3186061959457,highest,Medium,1
41610,2543.8586388812532,1764.5465150283371,252816,126408.0,-47.99057216383271,highest,Medium,4
41630,2441.8354277675194,1655.1924311966939,208246,104123.0,-44.908507294839616,highest,Medium,4
41650,4416.95652173913,3040.4347826086955,23,23.0,,Small,Long,7
42110,2009.5124221764552,1434.9101448760741,123963,61981.5,-45.66167407462742,Large,Medium,7
42130,2067.612447122554,1480.2820657962811,120088,60044.0,-44.20948847346367,Large,Medium,6
42150,2105.1477581683757,1542.567576913904,61467,30733.5,-45.147881291882904,Large,Medium,6
42170,2115.555836156452,1478.0510625192485,11936,5968.0,-46.363753378813236,Medium,Medium,6
42210,1989.7035087175993,1416.5053730141526,24075,12037.5,-50.29847033951002,Medium,Medium,6
43111,1861.4047858099063,1349.1266733601071,51945,25972.5,-39.97227356746765,Large,Short,7
43112,2032.3770914495462,1456.5111919292003,63636,31818.0,-36.972895424501715,Large,Medium,7
43113,1872.3966482936903,1349.1820410346313,100095,50047.5,-46.94252029909629,Large,Short,7
43114,1746.629127376601,1272.4235955401296,48448,24224.0,-47.48953316334561,Large,Short,7
43130,1866.65208343262,1407.6258081939347,46273,23136.5,-46.22312319298129,Large,Medium,6
43150,2085.821032939623,1550.3407673684983,20302,10151.0,-47.43368152100398,Medium,Medium,6
43750,1710.303233256351,1250.6540415704387,3253,1626.5,-51.86703096539163,Medium,Short,0
43770,1558.7508451656524,1127.0922920892494,2093,1046.5,-31.88755020080321,Medium,Short,0
44131,2207.9111648601033,1537.054873739636,75900,37950.0,-54.28225852899956,Large,Medium,7
44133,2018.9652321473523,1391.241556502643,165364,82682.0,-37.76391178086492,Large,Short,7
44150,1804.6908763013362,1284.5210263136323,8978,4489.0,-46.68715846994536,Medium,Short,6
44180,1775.8145379354223,1253.5314140289486,4701,2350.5,-50.14344915524387,Medium,Short,6
44200,2014.0049400141143,1399.965035908506,71970,35985.0,-51.114007323279345,Large,Short,7
44210,1612.2873446934968,1228.3728304511396,24421,12210.5,-43.77558853633572,Medium,Short,6
44230,1661.066992737513,1209.358233288869,5004,2502.0,-49.186256781193485,Medium,Short,6
44270,1714.4277975766215,1222.0175338560227,20761,10380.5,-47.44654272907635,Medium,Short,6
44800,1823.5186368477102,1178.9465388711394,3441,1720.5,-44.43942133815552,Medium,Short,0
44810,1119.8333333333333,694.8333333333334,6,6.0,,Small,Short,0
45111,1942.8518289764218,1421.8972638698021,94392,47196.0,-43.322378249178364,Large,Medium,7
45113,1898.6669695554328,1364.788476073203,87197,43598.5,-48.45319614863221,Large,Short,7
45130,1975.7609155606847,1455.0368952071203,41908,20954.0,-45.35222701944721,Large,Medium,7
45140,1905.3013698630136,1431.1551253506423,60096,30048.0,-48.13888257145023,Large,Medium,7
45180,1895.5771012574453,1449.4556585043017,4480,2240.0,-48.23848238482385,Medium,Medium,6
45710,1903.5543947308654,1280.399500340677,3078,1539.0,-22.59365994236311,Medium,Short,7
46110,1894.042241077531,1370.6236309990165,46458,23229.0,-51.23919308357349,Large,Short,6
46130,2223.89163923634,1532.827465437788,55801,27900.5,-45.79821482852958,Large,Medium,6
46150,1977.4978687969287,1389.0469852650594,52360,26180.0,-47.91890557378954,Large,Short,7
46170,1659.3407954945442,1074.6285814853925,10883,5441.5,-48.38395096127055,Medium,Short,6
46230,2195.659230366741,1459.2816914807593,16425,8212.5,-49.49143223678182,Medium,Medium,6
46840,1655.6667604524225,1228.750830003939,13535,6767.5,-47.85296762589928,Medium,Short,6
47111,2080.4669017090637,1399.9329338666582,46770,23385.0,-45.68939918835989,Large,Short,6
47113,2011.1245014436313,1374.3862754314107,54735,27367.5,-42.04374927854092,Large,Short,6
47130,2207.3355902777776,1586.1197172619047,30421,15210.5,-49.735737219066436,Large,Medium,6
47150,2181.906576707999,1463.2497568684657,12074,6037.0,-45.69968051118211,Medium,Medium,6
47170,1978.8288368123933,1393.428777734016,23241,11620.5,-50.88540998331836,Medium,Short,6
47190,1913.979411964551,1324.9832752545597,75823,37911.5,-46.59288633512726,Large,Short,6
47210,1867.9277464410422,1400.160623153371,2725,1362.5,-44.107551487414185,Medium,Short,6
47230,3692.6666666666665,2605.0,3,3.0,,Small,Long,6
47250,1623.7653104925053,1240.118415417559,3522,1761.0,-54.161490683229815,Medium,Short,6
47290,2059.5672329839535,1425.8445476732259,63297,31648.5,-47.708298246036144,Large,Medium,7
47850,2242.95542180965,1414.561562786902,7680,3840.0,-63.39381003201707,Medium,Medium,0
47900,1389.677108433735,914.5710843373494,313,156.5,-29.891304347826086,Small,Short,6
48121,1832.3240482822655,1311.213308573197,36082,18041.0,-49.96465549503098,Large,Short,7
48123,1834.585632137917,1310.1789580784928,63365,31682.5,-41.11083249749248,Large,Short,7
48125,1744.6359639420418,1278.7266618736865,26999,13499.5,-50.916620651573716,Large,Short,7
48127,1810.4745460354652,1318.0792640715692,27831,13915.5,-46.17807992041121,Large,Short,7
48129,1694.1227916020116,1203.3926227822542,38955,19477.5,-42.88537549407115,Large,Short,7
48170,1927.2157485210446,1369.9818380496627,78303,39151.5,-47.14506022214848,Large,Short,6
48220,2239.403591558527,1485.3029230567572,11538,5769.0,-46.36484687083888,Medium,Medium,6
48240,2027.3081039755352,1459.6424566768603,6212,3106.0,-54.38349742147211,Medium,Medium,6
48250,1916.2720137046736,1268.904050097686,128844,64422.0,-47.40631957932636,Large,Short,7
48270,1929.3398683247988,1430.1147037307974,5463,2731.5,-50.49261083743842,Medium,Medium,6
48310,1950.046327400351,1331.0641263474556,29661,14830.5,-49.30650815424478,Large,Short,6
48330,1951.6490655800228,1309.7225445129172,73093,36546.5,-45.511804366664556,Large,Short,6
50110,1744.4612170744067,1300.3863143821363,137737,68868.5,-46.024772508775456,Large,Short,7
50130,1528.7274996434176,1120.1760091285123,11016,5508.0,-51.616379310344826,Medium,Short,6
