Region,country_name,country_code,median_test_length_days,days_available,testing_capacity,avg_total_active_users,avg_flgp_per_user,avg_orders_per_user,CPiO - Growth at a Cost,Lose-Lose,MPOL - Profit at a Cost,Win-Win,Total_tests,percentage_growth,percentage_lose_lose,percentage_profit,percentage_win_win,flgp_per_user_incremental_CPiO - Growth at a Cost,flgp_per_user_incremental_Lose-Lose,flgp_per_user_incremental_MPOL - Profit at a Cost,flgp_per_user_incremental_Win-Win,flgpu_control_mean_CPiO - Growth at a Cost,flgpu_control_mean_Lose-Lose,flgpu_control_mean_MPOL - Profit at a Cost,flgpu_control_mean_Win-Win,flgpu_perc_change_CPiO - Growth at a Cost,flgpu_perc_change_Lose-Lose,flgpu_perc_change_MPOL - Profit at a Cost,flgpu_perc_change_Win-Win,orders_per_user_control_mean_CPiO - Growth at a Cost,orders_per_user_control_mean_Lose-Lose,orders_per_user_control_mean_MPOL - Profit at a Cost,orders_per_user_control_mean_Win-Win,orders_per_user_incremental_CPiO - Growth at a Cost,orders_per_user_incremental_Lose-Lose,orders_per_user_incremental_MPOL - Profit at a Cost,orders_per_user_incremental_Win-Win,orders_per_user_perc_change_CPiO - Growth at a Cost,orders_per_user_perc_change_Lose-Lose,orders_per_user_perc_change_MPOL - Profit at a Cost,orders_per_user_perc_change_Win-Win,orders_impact_growth,orders_impact_profit,orders_impact_win,baseline_orders,orders_impact_incremental,flgp_impact_growth,flgp_impact_profit,flgp_impact_win,baseline_flgp,flgp_impact_incremental,total_orders_2023,total_orders_2024,fully_loaded_gross_profit_eur_2023,fully_loaded_gross_profit_eur_2024,total_users_2023,total_users_2024,total_flgp,total_orders,total_users,total_flgp_target,total_orders_target,flgp_yoy_2024,orders_yoy_2024
Africa,C̫te d'Ivoire,CI,69.5,330.0,4.75,71766.57142857143,4.479640418347153,2.957931529555606,1.0,1.625,3.6,3.0,9.225,0.10840108401084012,0.1761517615176152,0.3902439024390244,0.3252032520325203,0.05632587413233914,-0.09549508279542461,0.09866734208690982,0.18108222472867896,9.807899323431275,5.049129053831793,3.371147537623797,6.000022748914841,1.00574290908531,0.9782022294180939,1.059642773048641,1.0301802563600995,12.415062434723133,6.051708594789986,6.2537266849337,8.897579399673495,0.2313801262558588,-0.045477538535599896,-0.0869526509838167,0.12181857672024805,1.018637048945378,0.9922343311279491,0.982791157410654,1.0136912042307504,214308.59090063488,205558.7789185318,216786.83641539296,212280.60439667595,-187.60695546818897,322437.7720960127,357933.57578477875,336598.83396833326,321488.4340576266,52504.87967624498,1814738.0,2552800.480375789,1859863.0,3677341.038443543,644030.0,861479.4273405464,3677341.038443543,2552800.480375789,861479.4273405464,3729845.918119788,2552612.873420321,0.9772107076938157,0.4067047035857458
Africa,Kenya,KE,65.0,330.0,5.08,102346.85714285714,2.225613272819204,1.9624385691729276,1.8571428571428572,1.625,5.0,2.0,10.482142857142858,0.17717206132879046,0.15502555366269163,0.47700170357751276,0.1908006814310051,-0.06962278953790811,-0.09549508279542461,0.01694317575297431,0.16611484753341987,3.8903781350082034,5.049129053831793,1.3871864801813594,4.615877052237543,0.9491420119083437,0.9782022294180939,1.0122140577312715,1.0359877106026678,4.410406127238598,6.051708594789986,3.9079084177579566,7.1621567666049515,0.1370007491644228,-0.045477538535599896,-0.0300947258373524,0.027200236407094458,1.0347765828190825,0.9922343311279491,0.9922990196749242,1.0037977717178603,207125.23794585737,197121.93058120678,201588.71487423117,200849.4198907746,3287.62372897155,217330.92003808374,234584.89378483576,235725.6984712499,227784.52368847383,4287.941228747921,1459066.0,2393465.0456287703,989787.0,2656928.279048233,745038.0,1225784.5457410447,2656928.279048233,2393465.0456287703,1225784.5457410447,2661216.2202769807,2396752.6693577417,1.6843434789992522,0.6404090326474404
Africa,Morocco,MA,84.0,330.0,3.93,480314.4285714286,5.650663839773729,3.3884526727090503,5.0,1.625,8.0,4.0,18.625,0.2684563758389262,0.087248322147651,0.42953020134228187,0.21476510067114093,-0.022543279545524264,-0.09549508279542461,0.012368845417420596,0.006736565995651506,2.0062663077290117,5.049129053831793,1.0943190760988148,1.095243345435553,0.9887635657047732,0.9782022294180939,1.0113027778529775,1.006150748163617,2.1770983898644145,6.051708594789986,1.7777184118377845,1.4826046728473554,0.021873733486230895,-0.045477538535599896,-0.01152732074590516,0.015518154474119278,1.0100471956564137,0.9922343311279491,0.9935156655468352,1.0104668188076842,1644779.413769108,1609747.7683856909,1641889.0048755966,1627522.7092335774,13848.059329663403,2681930.257686465,2766080.6121737557,2728178.576023236,2714095.3732501534,33903.32613299647,13860724.0,18017467.013656307,16143784.0,31074287.38079898,4081740.0,5360356.62790269,31074287.38079898,18017467.013656307,5360356.62790269,31108190.70693198,18031315.07298597,0.924845338664032,0.2998936429046785
Africa,Nigeria,NG,49.0,330.0,6.73,97144.28571428571,-0.18357590662472284,3.10979224148165,1.8571428571428572,1.625,8.0,1.0,12.482142857142858,0.14878397711015737,0.1301859799713877,0.6409155937052933,0.08011444921316166,-0.06962278953790811,-0.09549508279542461,0.13114796221466937,0.010419550822581947,3.8903781350082034,5.049129053831793,0.7281676140671343,1.061929767307688,0.9491420119083437,0.9782022294180939,1.1801068321099186,1.0098119020140086,4.410406127238598,6.051708594789986,7.472361097832278,21.23859534615376,0.1370007491644228,-0.045477538535599896,-0.1885809872071624,0.20839101645163538,1.0347765828190825,0.9922343311279491,0.9747628648109806,1.0098119020140084,312618.5667187972,270561.43840700586,303693.13756904163,302098.5460185624,-19422.4953608425,-16925.219207370348,-36429.7042922541,-17927.481560112596,-17833.350323411112,-17782.354089503708,2399085.0,4603432.858614633,-140355.0,-142326.15590917022,816134.0,1456574.8045726484,-142326.15590917022,4603432.858614633,1456574.8045726484,-160108.50999867392,4584010.36325379,0.014044073308184404,0.9188285778180568
Africa,Tunisia,TN,76.0,330.0,4.34,123306.42857142857,2.0739832168264267,2.857764573879805,1.0,1.625,2.0,1.0,5.625,0.17777777777777778,0.28888888888888886,0.35555555555555557,0.17777777777777778,-0.026105051153363534,-0.09549508279542461,0.04942086092076055,0.025672041002073875,0.4717039938229901,5.049129053831793,0.0844798827333269,6.009469878533184,0.9446579814985421,0.9782022294180939,1.585001533166952,1.0042719310556458,1.310288871730528,6.051708594789986,0.843240613840363,19.385386704945756,0.0400109545410674,-0.045477538535599896,-0.06839962358845675,0.08281303549055963,1.0305359798165912,0.9922343311279491,0.9188848088365372,1.0042719310556458,360654.3048349261,309257.27081343177,353541.6358142308,352380.74330306915,-33689.01844661881,244745.06060113522,520545.85036559956,256577.96510949216,255735.46338394942,254662.48592437868,1582388.0,4015648.357904041,632936.0,4981419.44217648,624745.0,1422169.8634331082,4981419.44217648,4015648.357904041,1422169.8634331082,5236081.928100859,3981959.3394574225,6.870336719947167,1.5377141117753934
Africa,Uganda,UG,92.0,330.0,3.59,45715.28571428572,1.963632706517308,2.375474698996656,1.0,1.625,3.6,2.0,8.225,0.12158054711246201,0.19756838905775076,0.4376899696048632,0.24316109422492402,-0.06962278953790811,-0.09549508279542461,0.09866734208690982,0.12199592887910482,3.8903781350082034,5.049129053831793,3.371147537623797,4.530415206631706,0.9491420119083437,0.9782022294180939,1.059642773048641,1.026928200466157,4.410406127238598,6.051708594789986,6.2537266849337,9.974263606913778,0.1370007491644228,-0.045477538535599896,-0.0869526509838167,0.19659419248564225,1.0347765828190825,0.9922343311279491,0.982791157410654,1.0197101460552307,110228.01873393581,105673.51212389932,110461.66980883901,108595.504571689,576.686951607131,87746.00422757,98322.96423400902,91874.62707054355,89768.03021635489,8639.504883057889,453739.0,1397705.711940697,317821.0,1329424.5649097003,222443.0,578438.3692658453,1329424.5649097003,1397705.711940697,578438.3692658453,1338064.0697927582,1398282.3988923042,3.18293493793582,2.080417843607662
ECA,Armenia,AM,69.0,330.0,4.78,24719.0,3.0196839109013247,3.3348011195970946,1.0,1.625,2.0,2.7222222222222223,7.347222222222222,0.13610586011342155,0.22117202268431002,0.2722117202268431,0.3705103969754253,-0.08591984039520995,-0.09549508279542461,0.0014666399731750879,0.09946151396122811,6.154552475774272,5.049129053831793,5.672868897223628,3.6766605979016966,0.9860396282697386,0.9782022294180939,1.0002585358483946,1.042107146724706,8.919641269238076,6.051708594789986,8.015893046595112,7.017667268042245,0.13801938058141872,-0.045477538535599896,-0.21972599047584618,0.05844268140137628,1.0154736470240588,0.9922343311279491,0.9725887073095145,1.0084193344181756,83260.56838745679,79505.04329446018,83666.09161662686,82432.94887532058,-867.1433274179144,73963.95822219664,74668.67763799265,80300.06715351537,74643.56659356985,5002.003232995106,742700.0,961283.2434933844,502793.0,684220.3233070225,256018.0,292814.70080927823,684220.3233070225,961283.2434933844,292814.70080927823,689222.3265400175,960416.1001659665,0.36083899996026686,0.29430893159200816
ECA,Georgia,GE,82.0,252.0,3.07,201031.2857142857,1.3614214289260727,2.8826387906168267,1.8571428571428572,2.0,2.0,1.0,6.857142857142858,0.2708333333333333,0.29166666666666663,0.29166666666666663,0.14583333333333331,-0.06962278953790811,-0.009398050625408771,0.02030028412699103,0.06569114895880307,3.8903781350082034,4.954127795993057,6.901842511795504,0.1895202007238082,0.9491420119083437,0.9981029858307228,1.002941284750021,1.3466181900816798,4.410406127238598,11.00917287998457,14.855608285782832,3.15867001206347,0.1370007491644228,-0.020884556945352628,-0.10311283698919471,0.03147185896917071,1.0347765828190825,0.9981029858307229,0.9930589959693622,1.00996364256126,596208.5493877861,575897.6230565904,582078.5458009734,579500.5823275743,15682.971262627165,262064.4234154566,274408.9956524846,312694.36977636145,273688.30025598843,28102.888076337345,5460644.0,7109237.866097394,2353027.0,2313501.4374023727,2036349.0,2472977.3432837427,2313501.4374023727,7109237.866097394,2472977.3432837427,2341604.3254787102,7124920.837360022,-0.016797751406009063,0.3019046592485052
ECA,Kazakhstan,KZ,105.0,245.0,2.33,227438.85714285713,1.3546593988398203,2.7966596439110942,1.8571428571428572,1.0,4.0,2.0,8.857142857142858,0.20967741935483872,0.11290322580645161,0.45161290322580644,0.22580645161290322,-0.06962278953790811,-0.09549508279542461,0.017161423944427524,0.03685817683080883,3.8903781350082034,5.049129053831793,0.29134947446045834,0.4510946413083542,0.9491420119083437,0.9782022294180939,1.0589032260181979,1.0817083012201285,4.410406127238598,6.051708594789986,1.0094215032165568,1.780136299653618,0.1370007491644228,-0.045477538535599896,-0.007499418852607409,0.019438964288878258,1.0347765828190825,0.9922343311279491,0.9925705774756034,1.0109199302843612,646781.4542855648,631097.4628344997,639714.071290638,636069.073228689,9385.76872463536,300344.69944192213,327227.64814807824,321100.6064292558,308102.1854899586,24366.397549380315,6655778.0,7494618.860070159,2596503.0,2203022.6347806845,2532839.0,2747944.5322358343,2203022.6347806845,7494618.860070159,2747944.5322358343,2227389.032330065,7504004.628794794,-0.15154242657116726,0.12603197703862098
ECA,Kyrgyzstan,KG,108.0,245.0,2.27,68167.0,1.3535400336839138,2.628228859272167,1.0,1.625,3.0,2.7222222222222223,8.347222222222221,0.11980033277870217,0.19467554076539104,0.3594009983361065,0.3261231281198004,-0.06962278953790811,-0.09549508279542461,0.27348499012760286,0.09946151396122811,3.8903781350082034,5.049129053831793,5.9145253624892655,3.6766605979016966,0.9491420119083437,0.9782022294180939,1.046239549814442,1.042107146724706,4.410406127238598,6.051708594789986,6.8773550726619375,7.017667268042245,0.1370007491644228,-0.045477538535599896,-0.07734369615988435,0.05844268140137628,1.0347765828190825,0.9922343311279491,0.9887538602641978,1.0084193344181756,180831.8159470364,177512.97820050493,180273.92431024843,179158.47665000582,1143.2885077723186,90966.31024674582,95732.88690759834,95127.43977892293,92266.76347613135,5026.346504873029,1575614.0,2241609.638946172,856946.0,1118493.358965377,614026.0,855889.1210559079,1118493.358965377,2241609.638946172,855889.1210559079,1123519.7054702502,2242752.927453944,0.305208681720175,0.42268959208674955
ECA,Ukraine,UA,80.0,224.0,2.8,575076.4285714285,4.313046627705978,2.515097890700118,1.8571428571428572,2.0,6.0,7.0,16.857142857142858,0.11016949152542373,0.11864406779661017,0.3559322033898305,0.4152542372881356,-0.06962278953790811,-0.09549508279542461,0.03092243852506546,0.015795236244658607,3.8903781350082034,5.049129053831793,1.4944502439708083,2.460272964087602,0.9491420119083437,0.9782022294180939,1.0206915142540331,1.0064201153592387,4.410406127238598,6.051708594789986,1.9425984077806424,3.726082423917363,0.1370007491644228,-0.045477538535599896,-0.021392043956183604,0.009270026074379918,1.0347765828190825,0.9922343311279491,0.9889879226347028,1.002487874668278,1461706.7622216037,1430499.6298887834,1450558.256487303,1446373.512491357,3644.1111236189026,2440714.4413923286,2531477.510758767,2498856.1443772786,2480331.4509231974,30053.743758781813,13499281.0,16788478.608995594,21335493.0,28551665.921133943,5475392.0,6979269.3449703315,28551665.921133943,16788478.608995594,6979269.3449703315,28581719.664892726,16792122.72011921,0.3382238657964896,0.24365724433735353
IT,Italy,IT,87.0,231.0,2.66,1193130.142857143,3.508529921157925,2.1527878283433437,1.0,1.625,5.0,3.0,10.625,0.09411764705882353,0.15294117647058825,0.47058823529411764,0.2823529411764706,-0.0030696898092247293,-0.09549508279542461,0.01831363872755897,0.014535580471622114,0.32694764823200884,5.049129053831793,1.65297951359124,1.335279511997136,0.9906110662492167,0.9782022294180939,1.011079168602502,1.0108857960756708,0.3715314184454646,6.051708594789986,3.2024160977584772,1.0692894467898826,0.0007420969830229107,-0.045477538535599896,-0.04341870458564095,0.007468669557517432,1.0019974003440353,0.9922343311279491,0.9864418916030206,1.0069847033279336,2569839.5081071244,2525038.2954490273,2582018.815971518,2568556.049172412,-28771.52798956679,4176258.284729388,4244268.985671398,4220311.931979825,4186132.8060497153,82440.78423146531,23566036.0,30939758.6880764,35678909.0,49726884.66362308,11397364.0,14543659.20275758,49726884.66362308,30939758.6880764,14543659.20275758,49809325.44785455,30910987.160086833,0.39373333034435215,0.31289618194915764
Iberia,Portugal,PT,76.0,327.0,4.3,412451.85714285716,3.0854732306772923,2.15074170557572,1.0,1.625,3.0,2.7222222222222223,8.347222222222221,0.11980033277870217,0.19467554076539104,0.3594009983361065,0.3261231281198004,,,,,,,,,,,,,,,,,,,,,,,,,,,,887077.4106993019,,,,,1272609.1641574206,,8838637.0,10527728.508852582,11877037.0,15076627.647209309,3985505.0,4934019.917417844,15076627.647209309,10527728.508852582,4934019.917417844,,,0.2693930015717985,0.19110316543745176
Iberia,Spain,ES,101.5,210.0,2.07,2115231.4285714286,6.249812389320086,2.2820952611674152,9.0,4.0,6.0,5.0,24.0,0.375,0.16666666666666666,0.25,0.20833333333333334,-0.007222515414215203,-0.0009808687780945569,-0.006779141551890726,0.012669337748083764,0.6597077580986657,0.3685152820407699,1.8628278060654104,4.30464728507432,0.9890519471303004,0.9973383226533709,0.996360832960611,1.0029431767364572,0.6464879603333848,0.40496184839645044,1.4249686340347096,4.424364416029252,0.0029323542317433726,-0.0010778777781259574,-0.015134839986399065,0.014494426660835114,1.0045358218739777,0.9973383226533707,0.98937882587384,1.0032760472008866,4844147.110213935,4800558.996787955,4833973.065474628,4827159.619415239,-2799.685769200325,13107313.876489948,13194881.253367504,13236564.73065027,13219799.58856494,-120638.90518709645,48550933.0,57841106.43822266,119986535.0,158313743.23868978,22180032.0,25443890.854040265,158313743.23868978,57841106.43822266,25443890.854040265,158193104.33350268,57838306.75245346,0.3194292446122374,0.1913490197649273
PL,Poland,PL,177.0,252.0,1.42,730776.8571428572,2.0307204956771296,1.8442812948774343,1.0,1.625,6.0,5.0,13.625,0.07339449541284404,0.11926605504587157,0.44036697247706424,0.3669724770642202,-0.11954999159577906,-0.09549508279542461,0.12146191786643135,0.012683718340825736,0.4271193447688994,5.049129053831793,2.9890760923527644,0.5411689734593536,0.7201016693344486,0.9782022294180939,1.0406352712723437,1.0234376303204278,1.6427667106496129,6.051708594789986,6.642391316339476,1.795947319774019,0.16646477860403586,-0.045477538535599896,-0.02422533714969788,0.02351426909667618,1.1013319648644506,0.9922343311279491,0.9963529193033077,1.013092961490449,1361384.0997590916,1344682.2923633836,1356924.8665492295,1347758.0883578905,19716.99359803321,1434077.0803639346,1521430.3679306544,1502027.6672471706,1484003.541566518,5524.490842205938,12157466.0,16587038.447640508,9174824.0,14507148.483537115,7010887.0,9130993.705386268,14507148.483537115,16587038.447640508,9130993.705386268,14512672.974379322,16606755.441238541,0.5811909289526551,0.36434997619080395
SEE,Bosnia and Herzegovina,BA,54.0,330.0,6.11,36173.71428571428,1.0374184390271803,2.4039824641333105,1.0,1.0,2.0,1.0,5.0,0.2,0.2,0.4,0.2,-0.06962278953790811,-0.19283567851572148,0.06881531937570551,0.08315381331581939,3.8903781350082034,6.3568946720302115,1.969282304652732,4.346174402758395,0.9491420119083437,0.9696651134768393,1.0349443648648642,1.0191326453128626,4.410406127238598,11.557990312782202,7.877129218610928,8.048471116219249,0.1370007491644228,-0.14306625071833245,-0.03829220311693948,0.004852913006594406,1.0347765828190825,0.9876218748375215,0.9951388123700614,1.0006029608526288,90670.69294842675,85931.43740474853,87025.05351878471,86960.97480542575,2744.259455682739,35208.35947068217,40813.53622512117,38406.5236155226,37527.27820810093,1846.5846870231544,892169.0,1051223.7210678582,303863.0,670067.6588191844,376923.0,440270.8942571075,670067.6588191844,1051223.7210678582,440270.8942571075,671914.2435062076,1053967.9805235409,1.2051637047590014,0.17827869054838058
SEE,Bulgaria,BG,66.0,330.0,5.0,134737.7142857143,3.3214384249020066,2.1359051822558532,1.8571428571428572,1.0,2.0,4.0,8.857142857142858,0.20967741935483872,0.11290322580645161,0.22580645161290322,0.45161290322580644,-0.06962278953790811,-0.09549508279542461,-0.018069388452855994,0.09239608375722852,3.8903781350082034,5.049129053831793,4.661664521416469,3.239682826529625,0.9491420119083437,0.9782022294180939,0.9961238333711399,1.0285201017212553,4.410406127238598,6.051708594789986,4.408567039906682,3.3783206504048535,0.1370007491644228,-0.045477538535599896,-0.06001794971064278,0.025824778430571627,1.0347765828190825,0.9922343311279491,0.9863860639597049,1.0076442650366764,298288.2323771476,283367.4320377643,292778.4455513724,287786.98218816565,11073.163401787344,423691.45055026107,445565.0091580192,476861.9118754144,447523.0215120395,3549.307047576236,2495330.0,3340113.9036767995,4357555.0,5388759.126468881,1410942.0,1647279.674547626,5388759.126468881,3340113.9036767995,1647279.674547626,5392308.433516458,3351187.0670785867,0.23664741499966863,0.33854596533396364
SEE,Croatia,HR,84.0,330.0,3.93,162953.14285714287,1.2526875919888252,2.430135108008951,1.8571428571428572,1.625,1.0,2.0,6.482142857142858,0.2865013774104683,0.25068870523415976,0.1542699724517906,0.3085399449035812,-0.06962278953790811,-0.09549508279542461,0.438906882240893,0.33893525884204534,3.8903781350082034,5.049129053831793,7.87764129528577,6.640689651691815,0.9491420119083437,0.9782022294180939,1.0557155201397084,1.0510391656016775,4.410406127238598,6.051708594789986,18.756288798299455,13.311631889502554,0.1370007491644228,-0.045477538535599896,-0.2750706260179818,0.06190832494433529,1.0347765828190825,0.9922343311279491,0.9853344854637277,1.0046506938787239,411537.7578904151,392466.93132521474,398232.39027330856,395998.1534175409,14242.619236315717,192478.2088939507,210950.9854012568,216830.20116741513,204129.38013272532,7871.255064446683,3802514.0,4632267.475422701,2350424.0,2444817.6330247074,1739509.0,1951124.970004978,2444817.6330247074,4632267.475422701,1951124.970004978,2452688.888089154,4646510.0946590165,0.04016025747895164,0.21821181340100282
SEE,Moldova,MD,78.5,330.0,4.2,37129.0,3.2825482481610324,2.207915339587673,1.0,1.625,1.0,2.7222222222222223,6.347222222222222,0.1575492341356674,0.25601750547045954,0.1575492341356674,0.4288840262582057,0.00893690699399663,-0.09549508279542461,0.6175661999061735,0.09946151396122811,10.04487653065354,5.049129053831793,13.270363726312498,3.6766605979016966,1.0008896980432487,0.9782022294180939,1.0465372474065395,1.042107146724706,7.385938625480543,6.051708594789986,21.40381246179435,7.017667268042245,0.006571255142644006,-0.045477538535599896,-0.36149439176605824,0.05844268140137628,1.0008896980432485,0.9922343311279491,0.9831107475637192,1.0084193344181756,82025.94322530148,81058.89072412481,83225.14196051161,81977.6886435507,376.9099792857887,121949.47487807788,125601.89247286746,131277.4589430454,121877.73390597098,13195.624576077811,720853.0,958271.432160629,991046.0,1456211.4263908807,340686.0,441165.5742037114,1456211.4263908807,958271.432160629,441165.5742037114,1469407.0509669585,958648.3421399147,0.4693681487951929,0.32935762514774714
SEE,Montenegro,ME,52.0,330.0,6.35,27711.14285714286,5.907633767384219,3.342339593759737,1.0,1.0,3.6,1.0,6.6,0.15151515151515152,0.15151515151515152,0.5454545454545455,0.15151515151515152,-0.06962278953790811,-0.2483327590076474,0.09866734208690982,0.49332020095644324,3.8903781350082034,13.09582149405245,3.371147537623797,12.865753065276316,0.9491420119083437,0.9810372522929982,1.059642773048641,1.0383436708643101,4.410406127238598,7.0031130984237695,6.2537266849337,8.091668594513406,0.1370007491644228,-0.05852459299414736,-0.0869526509838167,0.1546729278524932,1.0347765828190825,0.9916430604258955,0.982791157410654,1.0191150843668226,95717.03386998939,87215.46259724585,94322.81527308363,92620.0499597609,-604.838138963838,155688.97708713158,200083.5079471075,169742.3223221358,163707.28327566516,34392.957529379375,827201.0,1060209.5409906677,1540610.0,2122953.573538384,281047.0,318215.95071635296,2122953.573538384,1060209.5409906677,318215.95071635296,2157346.5310677635,1059604.7028517039,0.37799545215102065,0.28168309877607456
SEE,Romania,RO,92.0,330.0,3.59,678632.5714285715,4.222042060001287,2.1806979952417627,1.8571428571428572,1.625,4.0,2.0,9.482142857142858,0.1958568738229755,0.17137476459510356,0.42184557438794723,0.21092278719397362,-0.06962278953790811,-0.09549508279542461,-0.0014199761178328718,0.02466489789745091,3.8903781350082034,5.049129053831793,2.183389512759126,1.3263179081104304,0.9491420119083437,0.9782022294180939,0.9993496459932893,1.0185965202962466,4.410406127238598,6.051708594789986,2.1348493553608123,1.5717153912894892,0.1370007491644228,-0.045477538535599896,-0.01925960351733482,0.010006208178494291,1.0347765828190825,0.9922343311279491,0.990978471867829,1.0063664250117732,1515895.4585319317,1459720.7387523055,1487021.3646376638,1479892.6880200482,22959.497861756478,2761965.3554062215,2862393.7448852626,2905471.4674210963,2865215.259858256,-65815.2118621883,15727875.0,17794225.98147717,30679955.0,31759479.127738006,7656252.0,8274870.603683563,31759479.127738006,17794225.98147717,8274870.603683563,31693663.91587582,17817185.47933893,0.03518662682973317,0.13138144736508722
SEE,Serbia,RS,71.5,330.0,4.62,164796.57142857142,2.2329086460272216,2.605106019953996,1.0,1.0,1.0,3.0,6.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,-0.42745751905419205,-0.025928057050250863,-0.01599991543289281,0.08758263897680552,5.114329832563164,0.4702860250424768,0.6442413617720433,5.166331332152878,0.9164196418595157,0.9448674728365382,0.9751647187183331,1.0169525787925624,4.82483946468223,0.28330483436293785,0.01455254939625126,7.821126767464151,0.6250120626537834,-0.003834414242041062,-0.0005574180454125353,0.036709686135527754,1.1295404888035891,0.9864654118922346,0.9616961928639028,1.0046936569661855,471528.5167251154,416593.754699633,433981.6133454957,429312.5402963501,34166.26388119388,344058.11597355007,360918.52357395744,382546.07364897075,367975.68917849974,-16404.354339020967,4255778.0,4960710.349670825,4729014.0,4239620.804520043,1935477.0,1985617.4005023146,4239620.804520043,4960710.349670825,1985617.4005023146,4223216.450181021,4994876.613552018,-0.10348736448654146,0.16564124107761838
